Star1_ID,Star2_ID,AngularSeparation_rad
7588,61084,0.002177835
71681,71683,0.003062824
26549,26551,0.003570377
97433,106032,0.006187652
3821,109492,0.006714587
84143,86228,0.007354482
82545,108085,0.011393524
46853,85670,0.012400617
61585,82273,0.013722245
18246,93194,0.015707514
33018,74666,0.016506875
68002,101772,0.016609207
45080,103227,0.018475203
85258,85267,0.019835458
13268,62956,0.02032236
47508,63608,0.020464096
53229,55219,0.020944335
75177,89642,0.023323121
31681,54879,0.023668865
42828,77634,0.024204899
67464,67472,0.024876051
24305,72622,0.025294334
8068,15863,0.025462693
41037,53253,0.025960143
7607,19343,0.026520523
18724,93747,0.0267532
2072,2081,0.028024878
82545,86670,0.028354042
76952,112748,0.02956395
9487,63090,0.029628466
41037,71681,0.029849166
41312,71908,0.030257424
6686,54061,0.030945062
34444,80112,0.030975641
86414,97165,0.03106463
76276,97278,0.031710048
41037,71683,0.031851863
26311,110395,0.033101746
8886,102422,0.033289458
43783,47854,0.033454686
30324,95168,0.033797691
26069,47854,0.03398616
59747,110130,0.03415679
53253,71683,0.034598021
50371,62434,0.034643464
53253,71681,0.034882875
42570,75264,0.036236482
86670,108085,0.036470184
38170,68895,0.0372002
37826,76952,0.037624709
45556,82363,0.039344295
3419,106985,0.039683815
5348,46701,0.040330953
102098,116584,0.040543148
41037,51232,0.040641684
18543,100064,0.040682954
71795,78072,0.041137066
2072,90422,0.041521947
32362,63608,0.042063925
89931,113368,0.042107088
61585,63613,0.042367233
68282,82729,0.042848407
49583,84345,0.043740825
13847,71865,0.043977023
16537,30867,0.044215587
57363,99240,0.044312779
6537,26241,0.044515555
14879,93864,0.04482846
31685,71352,0.045018861
45860,93194,0.045753635
7097,77233,0.045932854
71683,77952,0.045953821
35550,112748,0.046336355
71681,77952,0.046468908
9007,66657,0.04699663
63613,82273,0.047318442
49669,97278,0.047455124
12706,87108,0.047799958
84012,107556,0.048641833
22549,114971,0.049152939
19780,71908,0.050563107
9884,17702,0.051113246
33856,92041,0.051492267
85792,109268,0.052223775
30277,88635,0.052788733
32768,61932,0.052794755
76267,84379,0.053035348
41312,61585,0.053565114
26069,43783,0.053624863
88714,101772,0.053958167
32768,74395,0.054021717
62956,75458,0.054368033
20889,98337,0.054405721
23416,103413,0.054986216
32362,47508,0.054992117
61932,74395,0.054993376
38827,59196,0.055463158
51624,112029,0.055853163
8832,35550,0.056156408
42913,61084,0.056247442
68933,75177,0.056369513
30277,82396,0.056374386
76297,78384,0.05641805
32607,110130,0.056443165
41312,82273,0.05671502
35904,68895,0.056756668
7588,42913,0.057688482
81266,93864,0.058553987
20889,20894,0.058780833
43023,71536,0.059066339
71908,99240,0.05954043
49669,57632,0.059753661
24674,102618,0.060493344
18246,45860,0.060582038
25336,109427,0.060639758
63125,73555,0.060690129
48002,60009,0.060864532
21281,61084,0.060905075
63003,85727,0.061462407
2021,17678,0.061560456
37279,57757,0.061788236
56211,112724,0.061837704
9236,60718,0.062159549
51232,53253,0.062296165
7588,21281,0.062333619
56561,60718,0.06243148
32607,59747,0.062442611
68002,88714,0.062590938
61932,74376,0.06271344
60009,86929,0.062827031
13268,75458,0.063324488
93805,112961,0.06334755
37826,112748,0.063811618
19780,41312,0.063940891
2081,90422,0.063992811
13268,85670,0.064113449
62956,85670,0.064347192
38414,73334,0.064405374
26069,110130,0.064700188
25606,59316,0.065292917
71795,101421,0.065659194
